,UID,State,Date Collected,Result,Waterbody,SITESAMP,Region,Province,Parameter
0,59,CA,7/1/2010,0.4075,Mission Bay,Y,West,Californian Province,Total Nitrogen (mg N/L)
1,59,CA,7/1/2010,0.014,Mission Bay,Y,West,Californian Province,Nitrate/Nitrite (mg N/L)
2,59,CA,7/1/2010,0.028,Mission Bay,Y,West,Californian Province,Dissolved Inorganic Phosphate (mg P/L)
3,59,CA,7/1/2010,0.014,Mission Bay,Y,West,Californian Province,Dissolved Inorganic Nitrogen (mg N/L)
4,59,CA,7/1/2010,0.06125375,Mission Bay,Y,West,Californian Province,Total Phosphorus (mg P/L)
5,59,CA,7/1/2010,0.0,Mission Bay,Y,West,Californian Province,Ammonia (mg N/L)
6,59,CA,7/1/2010,3.34,Mission Bay,Y,West,Californian Province,Chlorophyll A (ug/L)
7,60,CA,7/1/2010,0.23,San Diego Bay,Y,West,Californian Province,Total Nitrogen (mg N/L)
8,60,CA,7/1/2010,0.01,San Diego Bay,Y,West,Californian Province,Nitrate/Nitrite (mg N/L)
9,60,CA,7/1/2010,0.01,San Diego Bay,Y,West,Californian Province,Ammonia (mg N/L)
10,60,CA,7/1/2010,0.03737875,San Diego Bay,Y,West,Californian Province,Total Phosphorus (mg P/L)
11,60,CA,7/1/2010,0.026,San Diego Bay,Y,West,Californian Province,Dissolved Inorganic Phosphate (mg P/L)
12,60,CA,7/1/2010,0.02,San Diego Bay,Y,West,Californian Province,Dissolved Inorganic Nitrogen (mg N/L)
13,60,CA,7/1/2010,2.45,San Diego Bay,Y,West,Californian Province,Chlorophyll A (ug/L)
14,61,CA,7/1/2010,0.0,Mission Bay,Y,West,Californian Province,Ammonia (mg N/L)
15,61,CA,7/1/2010,0.009,Mission Bay,Y,West,Californian Province,Dissolved Inorganic Nitrogen (mg N/L)
16,61,CA,7/1/2010,0.33625,Mission Bay,Y,West,Californian Province,Total Nitrogen (mg N/L)
