UID,State,Date Collected,Waterbody,Region,Province,SITESAMP,Ammonia (mg N/L),Chlorophyll A (ug/L),Dissolved Inorganic Nitrogen (mg N/L),Dissolved Inorganic Phosphate (mg P/L),Dissolved Silica (mg/L),Nitrate (mg N/L),Nitrate/Nitrite (mg N/L),Nitrite (mg N/L),Nitrogen Particulate (mg N/L),Phosphorus Particulate (mg P/L),Total Dissolved Nitrogen (mg N/L),Total Dissolved Phosphorus (mg P/L),Total Kjeldahl Nitrogen (mg N/L),Total Nitrogen (mg N/L),Total Phosphorus (mg P/L)
59,CA,2010-07-01,Mission Bay,West,Californian Province,Y,0.0,3.34,0.014,0.028,,,0.014,,,,,,,0.4075,0.06125375
60,CA,2010-07-01,San Diego Bay,West,Californian Province,Y,0.01,2.45,0.02,0.026,,,0.01,,,,,,,0.23,0.03737875
61,CA,2010-07-01,Mission Bay,West,Californian Province,Y,0.0,3.82,0.009,0.03,,,0.009,,,,,,,0.33625,0.0481
62,CA,2010-07-01,San Diego Bay,West,Californian Province,Y,0.0,6.13,0.01,0.028,,,0.01,,,,,,,0.23875,0.04425125
63,NC,2010-06-09,White Oak River,Southeast,Carolinian Province,Y,0.002,9.79,0.03,0.043,,,0.028,,,,,,,0.6325,0.09063625
64,NC,2010-06-22,Back Sound,Southeast,Carolinian Province,Y,0.0,3.04,0.031,0.089,,,0.031,,,,,,,0.164375,0.015376875
65,NC,2010-06-16,Pamlico Sound,Southeast,Carolinian Province,Y,0.002,7.51,0.019,0.01,,,0.017,,,,,,,0.443,0.036338
66,NC,2010-06-22,Bogue Sound,Southeast,Carolinian Province,Y,0.0,10.96,0.029,0.05,,,0.029,,,,,,,0.535625,0.078323125
67,NC,2010-06-02,Upper Broad Creek,Southeast,Carolinian Province,Y,0.005,13.63,0.005,0.013,,,0.0,,,,,,,0.60875,0.05833375
68,NC,2010-06-07,Lockwood Follys River,Southeast,Carolinian Province,Y,0.044,6.42,0.081,0.02,,,0.037,,,,,,,0.7125,0.04730875
69,NC,2010-06-09,New River,Southeast,Carolinian Province,Y,0.002,6.38,0.027,0.008,,,0.025,,,,,,,0.22875,0.0293375
70,FL,2010-06-15,Nassau Sound,Southeast,Carolinian Province,Y,0.0,6.75,0.037,0.009,,,0.037,,,,,,,0.64625,0.06214125
71,FL,2010-06-14,Saint Johns River,Southeast,Carolinian Province,Y,0.017,6.24,0.091,0.061,,,0.074,,,,,,,0.81125,0.096895
72,FL,2010-06-16,Saint Johns River,Southeast,Carolinian Province,Y,0.009,51.14,0.009,0.003,,,0.0,,,,,,,1.308,0.07672
73,FL,2010-06-15,Nassau River System,Southeast,Carolinian Province,Y,0.0,6.8,0.036,0.015,,,0.036,,,,,,,0.27375,0.04489625
74,FL,2010-06-17,Matanzas River,Southeast,Carolinian Province,Y,0.0,4.35,0.032,0.029,,,0.032,,,,,,,0.28375,0.03963875
109,FL,2010-06-16,Saint Johns River,Southeast,Carolinian Province,Y,0.007,6.87,0.015,0.041,,,0.008,,,,,,,0.90375,0.069065
110,FL,2010-06-14,Trout River,Southeast,Carolinian Province,Y,0.005,7.77,0.097,0.073,,,0.092,,,,,,,0.655,0.10470125
111,FL,2010-06-14,Trout River,Southeast,Carolinian Province,Y,0.006,10.92,0.026,0.09,,,0.02,,,,,,,0.74625,0.15590375
177,FL,2010-06-17,Apalachee Bay,Gulf,Louisianian Province,Y,0.0,0.76,0.025,0.005,,,0.025,,,,,,,0.2625,0.00229875
184,FL,2010-06-17,Apalachee Bay,Gulf,Louisianian Province,Y,0.0,2.54,0.029,0.005,,,0.029,,,,,,,0.19625,0.00278625
185,FL,2010-06-16,Apalachee Bay,Gulf,Louisianian Province,Y,0.0,4.5,0.026,0.009,,,0.026,,,,,,,0.2875,0.01277375
186,FL,2010-06-15,Ochlockonee River System,Gulf,Louisianian Province,Y,0.032,9.91,0.088,0.022,,,0.056,,,,,,,0.62,0.055835
187,LA,2010-06-16,Lake Palourde #1,Gulf,Louisianian Province,Y,0.002,22.39,0.016,0.016,,,0.014,,,,,,,0.9325,0.08135875
188,LA,2010-06-15,Hackberry Bay,Gulf,Louisianian Province,Y,0.002,18.73,0.002,0.023,,,0.0,,,,,,,0.6675,0.07697375
189,LA,2010-06-15,Bay Desespere,Gulf,Louisianian Province,Y,0.004,24.75,0.018,0.016,,,0.014,,,,,,,0.92,0.06983125
190,LA,2010-06-14,Lake Salvador,Gulf,Louisianian Province,Y,0.002,6.62,0.002,0.013,,,0.0,,,,,,,0.48,0.03654375
191,FL,2010-06-02,Old Tampa Bay,Gulf,West Indian Province,Y,0.004,3.87,0.024,0.068,,,0.02,,,,,,,0.425,0.0835825
193,CA,2010-07-01,Mission Bay,West,Californian Province,Y,0.0,2.94,0.013,0.025,,,0.013,,,,,,,0.26125,0.04718875
194,FL,2010-06-15,Ochlockonee Bay,Gulf,Louisianian Province,Y,0.0,,0.027,0.009,,,0.027,,,,,,,0.49625,0.05009625
195,FL,2010-06-16,Apalachee Bay,Gulf,Louisianian Province,Y,0.0,2.49,0.025,0.006,,,0.025,,,,,,,0.2975,0.01007875
196,MI,2010-06-21,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.008,0.59,0.243,0.006,,,0.235,,,,,,,0.3525,0.0
197,MI,2010-06-22,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.008,0.47,0.269,0.006,,,0.261,,,,,,,0.353125,0.0
198,MI,2010-06-17,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.01,0.79,0.241,0.004,,,0.231,,,,,,,0.39875,0.0
199,MI,2010-06-23,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.007,0.49,0.255,0.006,,,0.248,,,,,,,0.356875,0.0
200,MI,2010-06-24,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.005,0.62,0.286,0.008,,,0.281,,,,,,,0.418875,0.003470375
211,OH,2010-06-14,Lake Erie,Great Lakes,Great Lakes Province,Y,0.014,93.08,0.864,0.01,,,0.85,,,,,,,1.659,0.07838625
212,OH,2010-06-22,Lake Erie,Great Lakes,Great Lakes Province,Y,0.022,7.66,1.104,0.012,,,1.082,,,,,,,1.415,0.019129375
213,OH,2010-06-17,Lake Erie,Great Lakes,Great Lakes Province,Y,0.063,3.94,2.968,0.048,,,2.905,,,,,,,3.381,0.07889125
214,LA,2010-06-24,Timbalier Bay,Gulf,Louisianian Province,Y,0.002,19.42746667,0.022,0.014,,,0.02,,,,,,,0.79125,0.072140875
215,LA,2010-06-24,Timbalier Bay,Gulf,Louisianian Province,Y,0.001,20.5,0.022,0.013,,,0.021,,,,,,,0.74425,0.064448875
247,NH,2010-06-29,Great Bay,Northeast,Acadian Province,Y,0.006,2.33,0.012,0.021,,,0.006,0.0,,,,,,0.26,0.043
248,NH,2010-06-30,Hampton River/Hampton Harbor,Northeast,Acadian Province,Y,0.011,3.47,0.027,0.032,,,0.016,0.0,,,,,,0.265,0.049
249,FL,2010-06-08,Anclote Anchorage,Gulf,Louisianian Province,Y,0.015,1.27,0.052,0.006,,,0.037,,,,,,,0.3725,0.008185
250,FL,2010-06-02,Tampa Bay,Gulf,West Indian Province,Y,0.011,4.42,0.037,0.084,,,0.026,,,,,,,0.33625,0.09624125
251,FL,2010-06-03,Hillsborough Bay,Gulf,West Indian Province,Y,0.004,7.69,0.024,0.055,,,0.02,,,,,,,0.5625,0.16950375
252,FL,2010-06-04,Boca Ciega Bay,Gulf,West Indian Province,Y,0.002,5.94,0.036,0.01,,,0.034,,,,,,,0.39,0.03524375
256,MI,2010-06-14,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.005,0.98,0.25,0.004,,,0.245,,,,,,,0.33625,0.0
257,MI,2010-06-24,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.003,0.84,0.259,0.007,,,0.256,,,,,,,0.3985,0.004011875
258,MI,2010-06-23,Lake Huron,Great Lakes,Great Lakes Province,Y,0.007,0.32,0.299,0.006,,,0.292,,,,,,,0.335625,0.0
259,MI,2010-06-16,Lake Erie,Great Lakes,Great Lakes Province,Y,0.024,15.21,0.401,0.005,,,0.377,,,,,,,0.7225,0.06839375
260,MI,2010-06-17,Lake Erie,Great Lakes,Great Lakes Province,Y,0.123,1.22,0.523,0.009,,,0.4,,,,,,,0.66625,0.0149825
261,MI,2010-06-14,Lake Erie,Great Lakes,Great Lakes Province,Y,0.005,30.36,1.023,0.021,,,1.018,,,,,,,3.009,0.0761725
262,MI,2010-06-15,Lake Erie,Great Lakes,Great Lakes Province,Y,0.007,19.45,1.549,0.005,,,1.542,,,,,,,2.055,0.0831675
266,MI,2010-06-24,Lake Huron,Great Lakes,Great Lakes Province,Y,0.006,0.3,0.347,0.011,,,0.341,,,,,,,0.463,0.0
267,MI,2010-06-21,Lake Huron,Great Lakes,Great Lakes Province,Y,0.009,0.25,0.32,0.007,,,0.311,,,,,,,0.378125,0.0
268,MI,2010-06-25,Lake Huron,Great Lakes,Great Lakes Province,Y,0.006,0.32,0.332,0.012,,,0.326,,,,,,,0.453,0.0
269,MI,2010-06-23,Lake Huron,Great Lakes,Great Lakes Province,Y,0.007,0.28,0.286,0.007,,,0.279,,,,,,,0.351875,0.0
270,MI,2010-06-22,Lake Huron,Great Lakes,Great Lakes Province,Y,0.011,0.29,0.305,0.006,,,0.294,,,,,,,0.353125,0.0
271,MI,2010-06-25,Lake Superior,Great Lakes,Great Lakes Province,Y,0.004,0.67,0.315,0.003,,,0.311,,,,,,,0.42875,0.003348875
272,MI,2010-06-23,Lake Superior,Great Lakes,Great Lakes Province,Y,0.001,0.96,0.338,0.008,,,0.337,,,,,,,0.376875,0.0
273,MI,2010-06-21,Lake Superior,Great Lakes,Great Lakes Province,Y,0.002,0.52,0.352,0.008,,,0.35,,,,,,,0.3925,0.0
274,MI,2010-06-22,Lake Superior,Great Lakes,Great Lakes Province,Y,0.004,1.03,0.349,0.009,,,0.345,,,,,,,0.375625,0.0
275,MI,2010-06-22,Lake Superior,Great Lakes,Great Lakes Province,Y,0.005,2.19,0.351,0.008,,,0.346,,,,,,,0.398125,0.0
276,MI,2010-06-24,Lake Superior,Great Lakes,Great Lakes Province,Y,0.002,0.87,0.301,0.016,,,0.299,,,,,,,0.448,0.005658375
277,MI,2010-06-21,Lake Superior,Great Lakes,Great Lakes Province,Y,0.003,0.63,0.351,0.008,,,0.348,,,,,,,0.380625,0.0
278,FL,2010-06-21,Peace River,Gulf,West Indian Province,Y,0.041,13.04,0.041,0.003,,,0.0,,,,,,,1.0525,0.645046
279,FL,2010-06-22,Tarpon Bay,Gulf,West Indian Province,Y,0.001,12.97,0.026,0.029,,,0.025,,,,,,,0.724375,0.083614375
280,FL,2010-06-23,Charlotte Harbor,Gulf,West Indian Province,Y,0.0,3.98,0.024,0.067,,,0.024,,,,,,,0.393125,0.081200625
281,FL,2010-06-21,Peace River,Gulf,West Indian Province,Y,0.0,5.39,0.023,0.246,,,0.023,,,,,,,0.56375,0.27603875
282,FL,2010-06-23,Matlacha Pass,Gulf,West Indian Province,Y,0.0,2.85,0.02,0.007,,,0.02,,,,,,,0.726875,0.022869375
283,FL,2010-06-22,San Carlos Bay,Gulf,West Indian Province,Y,0.0,2.54,0.029,0.019,,,0.029,,,,,,,0.289375,0.028940625
284,FL,2010-06-23,Apalachicola River,Gulf,Louisianian Province,Y,0.01,3.55,0.405,0.034,,,0.395,,,,,,,0.6145,0.02549125
285,FL,2010-06-22,St. George Sound,Gulf,Louisianian Province,Y,0.0,3.47,0.015,0.004,,,0.015,,,,,,,0.275625,0.014610875
286,FL,2010-06-22,St. George Sound,Gulf,Louisianian Province,Y,0.0,1.1,0.015,0.006,,,0.015,,,,,,,0.35475,0.012084375
287,FL,2010-06-23,Apalachicola Bay,Gulf,Louisianian Province,Y,0.004,20.39,0.018,0.049,,,0.014,,,,,,,0.513625,0.048562375
288,FL,2010-06-23,Apalachicola Bay,Gulf,Louisianian Province,Y,0.005,10.41,0.026,0.008,,,0.021,,,,,,,0.477,0.0370935
290,OH,2010-06-07,Lake Erie,Great Lakes,Great Lakes Province,Y,0.006,52.48,2.188,0.009,,,2.182,,,,,,,2.934,0.11570625
322,LA,2010-06-22,Timbalier Bay,Gulf,Louisianian Province,Y,0.0,18.06,0.019,0.013,,,0.019,,,,,,,0.695625,0.076263125
332,NY,2010-07-10,Lake Erie,Great Lakes,Great Lakes Province,Y,0.009,6.59,0.159,0.004,,,0.15,,,,,,,0.4175,0.00624
333,NY,2010-07-11,Lake Erie,Great Lakes,Great Lakes Province,Y,0.014,3.72,0.17,0.003,,,0.156,,,,,,,0.38625,0.0056875
335,NY,2010-07-08,Lake Erie,Great Lakes,Great Lakes Province,Y,0.005,6.68,0.157,0.004,,,0.152,,,,,,,0.53875,0.00881125
336,NC,2010-06-29,Pamlico Sound,Southeast,Carolinian Province,Y,0.002,1.5,0.012,0.01,,,0.01,,,,,,,0.265375,0.027395
337,NC,2010-07-07,Neuse River,Southeast,Carolinian Province,Y,0.0,9.47984,0.012,0.064,,,0.012,,,,,,,0.485,0.09164625
338,NC,2010-06-23,Pungo River,Southeast,Carolinian Province,Y,0.006,19.9,0.006,0.021,,,0.0,,,,,,,0.916875,0.052929375
339,NC,2010-06-28,Alligator River,Southeast,Carolinian Province,Y,0.031,4.04,0.124,0.021,,,0.093,,,,,,,0.7935,0.02490475
340,NC,2010-06-30,Pamlico Sound,Southeast,Carolinian Province,Y,0.003,2.55,0.01,0.008,,,0.007,,,,,,,0.3255,0.027556
341,NC,2010-07-07,Pamlico Sound,Southeast,Carolinian Province,Y,0.006,11.05504,0.02,0.045,,,0.014,,,,,,,0.645,0.083615
342,NC,2010-07-07,Pamlico Sound,Southeast,Carolinian Province,Y,0.001,4.93,0.015,0.011,,,0.014,,,,,,,0.3975,0.0344625
343,NC,2010-06-21,Bull Bay,Southeast,Carolinian Province,Y,0.004,7.27,0.004,0.013,,,0.0,,,,,,,0.388125,0.025033125
344,NC,2010-07-07,Pamlico Sound,Southeast,Carolinian Province,Y,0.002,7.76,0.015,0.008,,,0.013,,,,,,,0.545,0.0513
345,NC,2010-06-28,Core Sound,Southeast,Carolinian Province,Y,0.01,4.13848,0.028,0.042,,,0.018,,,,,,,0.364,0.045927125
352,CA,2010-06-29,Mission Bay,West,Californian Province,Y,0.017,3.69,0.03,0.024,,,0.013,,,,,,,0.240375,0.038845125
386,FL,2010-06-03,Hillsborough Bay,Gulf,West Indian Province,Y,0.003,2.68,0.019,0.063,,,0.016,,,,,,,0.4625,0.1696225
387,MI,2010-06-25,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.004,0.7,0.279,0.006,,,0.275,,,,,,,0.42125,0.00401
388,OH,2010-06-24,Lake Erie,Great Lakes,Great Lakes Province,Y,0.007,133.18,3.267,0.017,,,3.26,,,,,,,4.419,0.253108125
390,LA,2010-07-08,Lake Pontchartrain,Gulf,Louisianian Province,Y,0.005,5.99,0.005,0.082,,,0.0,,,,,,,0.365,0.10249625
391,ME,2010-06-29,New Meadows River,Northeast,Acadian Province,Y,0.009,4.81,0.019,0.022,,,0.01,,,,,,,0.299,0.0456955
